ID;Tag;Kategória;Štúdium;Autor;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1;Odpoveď 2;Odpoveď 3
29;;Akademický rok;BID;JO;Kedy je začiatok akademického roku?;Kedy začína akademický rok?;Aký je dátum začiatku akademického roka?;Kedy je termín začiatku školského roka?;Kedy začína školský rok?;Začiatok akademického roku 2022/23 je 1.9.2022;Odpoveď je možné nájsť na linku: https://www.fri.uniza.sk/calendar?year=2022&section=E;
30;;Akademický rok;BID;JO;Kedy je koniec akademického roku?;Kedy končí akademický rok?;Aký je dátum konca akademického roka?;Kedy je termín konca školského roka?;Kedy končí školský rok?;Koniec akademického roku 2022/23 je 31.8.2023;Odpoveď je možné nájsť na linku: https://www.fri.uniza.sk/calendar?year=2022&section=E;
19;;Akcie;BID;JO, JK, AP;Aké akcie je možné nájsť na FRI počas roku?;Sú na FRI študentské akcie?;Aké sú možnosti kultúrneho vyžitia študentov?;Aké akcie sa dejú na FRI?;Aké sú voľnočasové aktivity na FRI? ;Ako študent na FRI máte prístup k mnohým študentským akciam ako napríklad Fričkovica, FRI ples, FRI punč a mnoho ďalších.;Akcie ako Fričkovica, FRI ples by vas mohli zaújmať.;
20;;Akcie;BID;JO, AP;Čo je to FRIčkovica?;Čo za podujatie je FRIčkovica?;Čo sa robí na FRIčkovici?;Ako prebieha fričkovica?;Čo sa deje na fričkovici?;Jesenné podujatie kde je občerstvenie a ako aj možnosť sa porozprávať so spolužiakmi a inými zaujmavimi ľudmi;;
21;;Akcie;BID;JO;Čo je to IT Trhovisko?;Čo za podujatie je IT Trhovisko?;Čo sa robí na IT Trhovisku?;Ako prebieha it trhovisko?;Čo sa deje na it trhovisku?;Prezentácia firiem ktoré by mali záujem o budúcu spoluprácu so študentami.;;
40;;Akcie;BID;JO, AP;Kedy je deň otvorených dverí?;Kedy sa koná Deň otvorených dverí? ;Aký je dátum DOD?;Kedy je termín dňa otvorených dverí?;Kedy je DOD?;Ďen otverných dveri v roku 2021/22 bol dňa 17.2.2022, dátum pre rok 2022/23 ešte nebol rozhodnutý.;;
169;;Akcie;;JO;Má FRI deň otvorených dverí?;Má FRI DOD?;Koná sa na FRI DOD?;Býva na fakulte deň otvorených dverí?;Koná sa na fakulte deň ptvorených dverí?;Áno.;;
170;;Akcie;;JO, AP;Čo je to panel story?;Čo za podujatie je panel story?;Čo sa robí na panel story?;Ako prebieha panel story?;Čo sa deje na panel strory?;Prezentácia študentských projektov pre verejnosť.;;
252;;Akcie;;JK;Chodí sa vrámci fakulty na spoločný výlet?;Je možnosť ísť na spoločný výlet vrámci fakulty?;Bývajú na FRI výlety?;Sú na fakulte spoločné výlety?;Dá sa ísť na FRI na výlet?;Áno.;;
432;;Akcie;;AP;Čo je to FRI ples?;Čo za podujatie je FRI ples?;Čo sa robí na FRI plese?;Ako prebieha ples?;Čo sa deje plese fakulty?;Ples organizovaný fakultou FRI pre študentov.;;
403;;Dekanát;;AP;Kto je dekan?;Aké je meno dekana fakulty?;Ako sa volá dekan?;Meno dekana?;Priezvisko dekana?;doc. Ing. Emil Kršák, PhD;;
404;;Dekanát;;AP;Kto je prodekan pre vzdelávanie?;Aké je meno prodekana pre vzdelávanie?;Ako sa volá prodekan pre vzdelávanie?;Meno prodekana pre vzdelávanie?;Priezvisko prodekana pre vzdelávanie?;doc. Ing. Viliam Lendel, PhD;;
405;;Dekanát;;AP;Kto je prodekan pre vedu a výskum?;Aké je meno prodekana pre vedu a výskum?;Ako sa volá prodekan pre vedu a výskum?;Kto má na starosti vedu a výskum?;Meno prodekana pre vedu a výskum?;doc. Ing. Michal Koháni, PhD;;
406;;Dekanát;;AP;Kto je prodekan pre zahraničné vzťahy?;Aké je meno prodekana pre zahraničné vzťahy?;Ako sa volá prodekan pre zahraničné vzťahy?;Kto má na starosti zahraničné vzťahy?;Meno prodekana pre zahraničné vzťahy?;doc. Ing. Peter Márton, PhD;;
168;;Erazmus;;JO;Je možné sa na FRI zapojiť do programu Erasmus? ;Dá sa ísť na ERAZMUS?;Môžem ísť na ERAZMUS?;;;Áno, bližšie informácie je možné nájsť na linku: https://www.fri.uniza.sk/stranka/aktualne-informacie-erasmus;;
191;;Erazmus;;JK, AP;Koho mám kontaktovať ak chcem vycestovať v rámci študentského programu erazmus?;Kto mi pomôže s ERAZMUS+?;Kto má na starosti ERAZMUS?;;;doc. Ing. Peter Márton, PhD;;
287;;Erazmus;;JK, AP;Aké možnosti Erasmu ponúka FRI?;Aké sú možnosti ERAZMU?;;;;FRI ponúka možnosť íst viac krát na erasmus ale celková doba na erasme nemôže presiahnúť 1 rok. ;Študenti môžu ísť aj počast zimného aj letného semestra na erasmus.;
144;;Internát;;JO;Kde sa nachádzajú internáty?;Kde sú internáty?;Kde sú intráky?;Kde nájdem internát?;;Adresa pre internát velký diel: Žilinská univerzita, Ubytovacie Zariadenie Veľký Diel Vysokoškolákov 20 010 08 Žilina. Adresa pre internát hliny: ulica, Hlinská, 010 01 Žilina.;Adresy môžete nájsť na linku: https://www.iklub.sk/?q=ubytko;
77;;ISIC;;JO;Kde dostanem preukaz študenta?;Kde dostanem ISIC?;Kde mi vydajú ISIC?;Kde mi vydajú preukaz študenta?;;Preukaz si môžete vyzdvihnúť na rektoráte.;;
78;;ISIC;;JO;Kedy dostanem preukaz študenta?;Kedy dostanem ISIC?;;;;Od septembra je potrebné si zaplatiť za ISIC a následne si ho budete môcť vyzdvihnúť;;
79;;ISIC;;JO, AP;Aký vysoký je poplatok za preukaz študenta?;Koľko stojí ISIC?;Koľko stojí preukaz študenta?;Koľko sa platí za ISIC?;Koľko sa platí za preukaz študenta?;Cena záleží od požiadaviek študenta.;;
126;;ISIC;;JO;Je možné používať kartu ISIC aj v MHD?;Môžem cestovať s ISIC aj v MHD?;;;;Áno.;Do veku 26 je možné využívať ISIC v MHD.;
127;;ISIC;;JO;Je možné používať kartu ISIC v SAD?;Môžem cestovať s ISIC aj v SAD?;;;;Áno.;Do veku 26 je možné využívať ISIC v SAD.;
128;;ISIC;;JO;Je možné používať kartu ISIC vo vlaku?;Môžem cestovať s ISIC aj vlakom?;;;;Áno.;Do veku 26 je možné využívať ISIC vo vlaku.;
158;;ISIC;;JO, JK;Kde je možné znovu aktivovať preukaz ISIC?;Kde si môžem aktivovať ISIC kartu?;;;;Na stránke e-many a následne na rektoráte.;;
159;;ISIC;;JO;Je možné znovu aktivovať preukat ISIC?;Môžem si predľžiť  platnosť ISIC?;;;;Áno.;;
179;;ISIC;;JK;Kde si môžem predĺžiť ISIC kartu? ;Kde viem predĺžiť ISIC?;Kde mi predĺžia platnosť ISIC?;;;Na stránke e-many a následne na rektoráte.;;
306;;ISIC;;JK;Pomýlil som sa pri vypisovaní ISIC údajov, je možné ich zmeniť?;Viem zmeniť údaje, ktoré som zadal do ISIC? ;Kde zmením údaje na ISIC?;;;Áno. ;;
307;;ISIC;;JK;Je možné chodiť na fri aj bez ISIC karty?;;;;;Nepravdepodobne.;Nie.;
308;;ISIC;;JK;Ak nemám predĺženú ISIC kartu, je možné chodiť do školy?;;;;;Možné to je ale nie odporúčané.;Mal by si si ísť predĺžiť ISIC inak nebudeš mať prístup k funkciam ISICu.;
399;;ISIC;;AP;Kde si vybavím ISIC?;;;;;Na stránke e-many a následne na rektoráte.;;
400;;ISIC;;AP;Do kedy je možné predĺžiť si ISIC?;;;;;Do konca školského roka.;;
59;;Katedra;BID;JO;Aké katedry sa nachádzajú na FRI?;Aké ma FRI katedry?;;;;Informačných sietí, Informatiky, Makro a microekonomiky, Manažérskych teórií, Matematických metód a operačnej analýzy, Softvérových technológií a Technickej kybernetiky.;;
60;;Katedra;BID;JO;Kde nájdem katedru informatiky?;Kde je katedra informatiky?;Kde sa nachádza katedra informatiky?;Kde je KI?;Kde nájdem KI?;Vedúceho prof. Vitaly Levashenko, PhD. nájdeš v miestnosti RA204, v danej blízkosti je celá katedra.;;
61;;Katedra;BID;JO;Kde nájdem katedru informačných sietí?;Kde je katedra informačných sietí?;Kde sa nachádza katedra informačných sietí?;Kde je KIS?;Kde nájdem KIS?;Vedúceho doc. Pavel Segeč, PhD. nájdeš v miestnosti RB354, v danej blízkosti je celá katedra.;;
