ID;Tag;Kategória;Štúdium;Autor;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1;Odpoveď 2;Odpoveď 3
29;;Akademický rok;BID;JO;Kedy je začiatok akademického roku?;Kedy začína akademický rok?;Od kedy sa chodí  do školy?;Kedy je termín začiatku školského roka?;Kedy začína školský rok?;;;
30;;Akademický rok;BID;JO;Kedy je koniec akademického roku?;Kedy končí akademický rok?;Do kedy sa chodí do školy?;Kedy je termín konca školského roka?;Kedy končí školský rok?;;;
19;;Akcie;BID;JO, JK, AP;Aké akcie je možné nájsť na FRI počas roku?;Sú na FRI študentské akcie?;Aké sú možnosti kultúrneho vyžitia študentov?;Aké akcie sa dejú na FRI?;Aké sú voľnočasové aktivity na FRI? ;;;
20;;Akcie;BID;JO, AP;Čo je to FRIčkovica?;Čo za podujatie je FRIčkovica?;Čo sa robí na FRIčkovici?;Ako prebieha fričkovica?;Čo sa deje na fričkovici?;;;
21;;Akcie;BID;JO;Čo je to IT Trhovisko?;Čo za podujatie je IT Trhovisko?;Čo sa robí na IT Trhovisku?;Ako prebieha it trhovisko?;Čo sa deje na it trhovisku?;;;
22;;Akcie;BID;JO, AP;Čo je to beh Jeana de Mijona?;Čo za podujatie je beh Jeana de Mijona?;Čo sa robí na behu Jeana de Mijona?;Ako prebieha beh Jeana de Mijona?;Čo sa deje na behu Jeana de Mijona??;;;
40;;Akcie;BID;JO, AP;Kedy je deň otvorených dverí?;Kedy sa koná Deň otvorených dverí? ;Kedy je DOD?;Kedy sa koná DOD?;Kedy je termín dňa otvorených dverí?;;;
166;;Akcie;;JO, AP;Čo je to FRIFest?;Čo za podujatie je FRI fest?;Čo sa robí na FRI feste?;Ako prebieha frifest?;Čo sa deje na frifeste?;;;
169;;Akcie;;JO;Má FRI deň otvorených dverí?;Má FRI DOD?;Koná sa na FRI DOD?;Býva na fakulte deň otvorených dverí?;Koná sa na fakulte deň ptvorených dverí?;;;
170;;Akcie;;JO, AP;Čo je to panel story?;Čo za podujatie je panel story?;Čo sa robí na panel story?;Ako prebieha panel story?;Čo sa deje na panel strory?;;;
252;;Akcie;;JK;Chodí sa vrámci fakulty na spoločný výlet?;Je možnosť ísť na spoločný výlet vrámci fakulty?;Bývajú na FRI výlety?;Sú na fakulte spoločné výlety?;Dá sa ísť na FRI na výlet?;;;
432;;Akcie;;AP;Čo je to FRI ples?;Čo za podujatie je FRI ples?;Čo sa robí na FRI plese?;Ako prebieha ples?;Čo sa deje plese fakulty?;;;
403;;Dekanát;;AP;Kto je dekan?;Aké je meno dekana fakulty?;Ako sa volá dekan?;Meno dekana?;Priezvisko dekana?;;;
